Year;Month;Day;Hour;Minute;Second;Count TGS2611;Count TGS2600;R0;T;RH;VCC;UGGA CH4 Conc (ppm)
2021;3;22;13;59;10;5978;13052;19389;20.9;43;4.971538462;2.86439
2021;3;22;13;59;20;5690;13425;19378;20.9;43;4.968717949;2.86406
2021;3;22;13;59;30;5701;13562;19378;20.9;44;4.968717949;2.86653
2021;3;22;13;59;40;5839;13290;19378;20.9;44;4.968717949;2.87019
2021;3;22;13;59;50;5968;13246;19379;20.9;44;4.968974359;2.86738
2021;3;22;14;0;0;6026;13149;19379;20.9;44;4.968974359;2.86419
2021;3;22;14;0;10;9036;14527;19378;20.8;38;4.968717949;26.2388
2021;3;22;14;0;20;8220;13888;19378;20.8;37;4.968717949;14.9461
2021;3;22;14;0;30;7730;13409;19379;20.7;36;4.968974359;11.4124
2021;3;22;14;0;40;7333;12922;19379;20.7;36;4.968974359;8.65256